"rate" "rate1"
10 "high"
8 "high"
10 "high"
10 "high"
10 "high"
8 "low"
1 "low"
8 "low"
2 "low"
1 "low"
10 "high"
1 "low"
8 "low"
7 "medium"
2 "low"
10 "high"
2 "low"
10 "high"
10 "low"
3 "medium"
10 "low"
10 "low"
5 "medium"
4 "medium"
9 "high"
10 "high"
9 "low"
5 "high"
10 "high"
9 "high"
9 "high"
9 "low"
1 "medium"
9 "high"
10 "high"
4 "medium"
2 "medium"
5 "medium"
7 "medium"
1 "medium"
10 "high"
10 "high"
10 "high"
8 "high"
10 "low"
10 "low"
8 "high"
10 "high"
10 "low"
10 "high"
6 "medium"
10 "high"
7 "low"
9 "high"
9 "high"
10 "high"
4 "medium"
10 "high"
5 "high"
10 "high"
10 "high"
7 "medium"
1 "medium"
9 "low"
1 "low"
8 "high"
9 "low"
1 "medium"
9 "low"
8 "high"
10 "low"
1 "low"
10 "high"
6 "high"
10 "high"
7 "low"
7 "high"
9 "high"
2 "low"
5 "high"
9 "high"
6 "medium"
7 "high"
1 "low"
1 "low"
9 "high"
9 "high"
9 "high"
4 "high"
8 "low"
9 "high"
8 "low"
7 "medium"
9 "high"
9 "high"
9 "low"
7 "medium"
8 "low"
5 "medium"
10 "high"
10 "low"
10 "high"
4 "high"
10 "high"
10 "low"
7 "medium"
9 "low"
10 "low"
9 "low"
3 "low"
8 "high"
6 "medium"
10 "high"
2 "low"
4 "medium"
10 "high"
9 "low"
9 "low"
7 "high"
9 "high"
9 "low"
10 "low"
9 "low"
10 "high"
10 "high"
9 "low"
8 "high"
8 "high"
2 "medium"
1 "low"
9 "low"
9 "low"
5 "medium"
9 "high"
8 "high"
9 "high"
1 "low"
5 "medium"
10 "high"
8 "high"
10 "high"
9 "low"
2 "low"
9 "high"
7 "high"
9 "low"
7 "medium"
10 "high"
10 "low"
9 "high"
7 "medium"
8 "high"
1 "low"
5 "high"
8 "high"
7 "high"
10 "high"
9 "high"
10 "high"
9 "high"
10 "high"
5 "medium"
4 "medium"
10 "high"
10 "high"
7 "low"
9 "low"
10 "low"
1 "low"
7 "medium"
3 "low"
10 "high"
2 "medium"
5 "medium"
10 "high"
10 "high"
10 "high"
3 "medium"
5 "medium"
9 "low"
6 "low"
9 "low"
9 "low"
9 "high"
10 "low"
9 "high"
9 "low"
8 "high"
9 "low"
9 "high"
9 "high"
8 "high"
10 "low"
7 "low"
9 "high"
10 "high"
8 "high"
9 "low"
8 "high"
3 "low"
1 "low"
2 "medium"
